"Reference","Value","Datasheet","Footprint","Qty","DNP","Reichelt"
"A1","RaspberryPi-Pico","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1","","RASP PI PICO H "
"C1,C8","100µ","~","Capacitor_SMD:CP_Elec_6.3x5.8","2","","FT-V 100U 16 "
"C2,C3,C4,C5,C6,C7,C10,C14,C15","100n","~","-- verschiedene Werte --","9","",""
"C9","47µ","~","Capacitor_SMD:CP_Elec_6.3x5.3","1","","ELN RVS-16V470MU "
"C11,C20","560pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","",""
"C12","3,9nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C13","68nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C16","3,3nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C17,C18","4,7µ","~","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder","2","","KEM X5R0805 4,7U "
"C19","10n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C21,C23","10µ","~","Capacitor_SMD:CP_Elec_4x5.7","2","","SMD ELKO 10/16 "
"C22","82nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","",""
"C24","220n","~","Capacitor_SMD:C_1206_3216Metric","1","",""
"D1","LED LFO2","~","LED_THT:LED_D3.0mm","1","",""
"D2","LED LFO1","~","LED_THT:LED_D3.0mm","1","",""
"D3","LED Shift1","~","LED_THT:LED_D3.0mm","1","",""
"D4","LED Fire1","~","LED_THT:LED_D3.0mm","1","",""
"D5","LED Fire2","~","LED_THT:LED_D3.0mm","1","",""
"D6","LED Fire3","~","LED_THT:LED_D3.0mm","1","",""
"D7","LED Fire4","~","LED_THT:LED_D3.0mm","1","",""
"D8","LED_WF_Squ","~","LED_THT:LED_D3.0mm","1","",""
"D9","LED Shift2","~","LED_THT:LED_D3.0mm","1","",""
"D10","LED_WF_Tri","~","LED_THT:LED_D3.0mm","1","",""
"D11","LED_WF_Saw","~","LED_THT:LED_D3.0mm","1","",""
"D20","SK110","~","Diode_SMD:D_SMA-SMB_Universal_Handsoldering","1","",""
"J1","AudioJack3_Ground","~","Audiosockets:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","1","","EBS 35 "
"J2","Power Jack","~","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","1","","CLIFF FCR681465 "
"R2,R3,R7,R8,R9,R10,R11,R12,R16,R17,R18","680","~","Resistor_SMD:R_1206_3216Metric","11","",""
"R4,R5,R6","1k","~","Resistor_SMD:R_1206_3216Metric","3","",""
"R19,R27","4,7k","~","Resistor_SMD:R_1206_3216Metric","2","",""
"R20,R21,R26,R28,R29,R30,RV1,RV2,RV3","10k","~","-- verschiedene Werte --","9","","RK09K113-LIN10K "
"R22,R25","15k","~","Resistor_SMD:R_1206_3216Metric","2","",""
"R23,RV4,RV5","100k","~","-- verschiedene Werte --","3","","RK09K113-LIN100K "
"R24","5,6k","~","Resistor_SMD:R_1206_3216Metric","1","",""
"RV6","50k","~","poti_alps:Potentiometer_Alps_RK09K_Single_Vertical","1","","RK09K113-LIN50K "
"SW1","LFO1/2","~","Button_Switch_THT:SW_PUSH_6mm","1","","OMR B3F-1002"
"SW2","Select LFO WaveForm","~","Button_Switch_THT:SW_PUSH_6mm","1","","OMR B3F-1002"
"SW3","Fire4","~","Button_Switch_THT:SW_PUSH_6mm","1","","RAFI 100.502 "
"SW4","Fire3","~","Button_Switch_THT:SW_PUSH_6mm","1","","RAFI 100.502 "
"SW5","Fire2","~","Button_Switch_THT:SW_PUSH_6mm","1","","RAFI 100.502 "
"SW6","Fire1","~","Button_Switch_THT:SW_PUSH_6mm","1","","RAFI 100.502 "
"SW7","Shift2/Save","~","Button_Switch_THT:SW_PUSH_6mm","1","","OMR B3F-1002"
"SW8","Shift1 / Select Bank","~","Button_Switch_THT:SW_PUSH_6mm","1","","OMR B3F-1002"
"U2","PT2399","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","1","",""
"U3","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:TO-252-3_TabPin2","1","","L78M05CDT STM "
